ProductID,ProductName,Category,PlacementLocation,RegionID,Date,UnitsSold,Revenue,CostPerUnit,ConsumerAge,ConsumerGender,StoreType,VisitorCount,SeasonalFactor,CompetitorPrice,PromotionActive,PromotionDiscount,DisplaySize
PROD001,Premium Coffee Maker,Electronics,EndCap,NORTH,2025-01-15,45,2250.50,35.00,35-45,M,Supermarket,1500,Peak,45.99,True,0.10,Large
PROD002,Blender Pro,Electronics,Shelf,SOUTH,2025-01-15,32,1600.00,40.00,25-35,F,Specialty,1200,Peak,48.50,False,0.00,Medium
PROD003,Toaster Deluxe,Appliances,Display,EAST,2025-01-15,58,870.00,15.00,45-55,M,Supermarket,2000,Peak,22.50,True,0.15,Large
PROD004,Microwave Oven,Appliances,EndCap,WEST,2025-01-15,41,1845.00,38.00,55-65,F,Supermarket,1800,Peak,42.00,True,0.12,Large
PROD005,Food Processor,Electronics,Shelf,NORTH,2025-01-16,29,1450.50,45.00,30-40,F,Specialty,950,Peak,52.00,False,0.00,Medium
PROD006,Coffee Grinder,Electronics,Display,SOUTH,2025-01-16,50,1250.00,22.00,40-50,M,Supermarket,1600,Peak,28.50,True,0.08,Large
PROD007,Kettle Smart,Appliances,EndCap,EAST,2025-01-16,67,2010.00,28.00,25-35,F,Supermarket,2100,Peak,35.00,True,0.10,Large
PROD008,Juicer Pro,Electronics,Shelf,WEST,2025-01-16,38,1900.00,48.00,35-45,M,Specialty,1100,Peak,55.00,False,0.00,Medium
PROD009,Mixer Stand,Appliances,Display,NORTH,2025-01-17,45,900.00,18.00,50-60,F,Supermarket,1700,Peak,24.00,True,0.12,Medium
PROD010,Blender Basic,Electronics,EndCap,SOUTH,2025-01-17,52,1560.00,28.00,28-38,M,Supermarket,1900,Peak,38.00,True,0.10,Large
PROD001,Premium Coffee Maker,Electronics,Shelf,EAST,2025-01-17,35,1750.00,35.00,40-50,F,Specialty,1300,Peak,45.99,False,0.00,Medium
PROD002,Blender Pro,Electronics,Display,WEST,2025-01-17,48,2400.00,40.00,30-40,M,Supermarket,1950,Peak,48.50,True,0.15,Large
PROD003,Toaster Deluxe,Appliances,EndCap,NORTH,2025-01-18,62,930.00,15.00,35-45,F,Supermarket,2200,Peak,22.50,True,0.20,Large
PROD004,Microwave Oven,Appliances,Shelf,SOUTH,2025-01-18,39,1755.00,38.00,45-55,M,Specialty,1050,Peak,42.00,False,0.00,Medium
PROD005,Food Processor,Electronics,Display,EAST,2025-01-18,42,2100.00,45.00,25-35,F,Supermarket,1850,Peak,52.00,True,0.10,Large
PROD006,Coffee Grinder,Electronics,EndCap,WEST,2025-01-18,55,1375.00,22.00,50-60,M,Supermarket,1750,Peak,28.50,True,0.12,Large
PROD007,Kettle Smart,Appliances,Shelf,NORTH,2025-01-19,70,2100.00,28.00,30-40,F,Specialty,1400,Peak,35.00,True,0.15,Large
PROD008,Juicer Pro,Electronics,Display,SOUTH,2025-01-19,41,2050.00,48.00,40-50,M,Supermarket,1600,Peak,55.00,False,0.00,Medium
PROD009,Mixer Stand,Appliances,EndCap,EAST,2025-01-19,48,960.00,18.00,28-38,F,Specialty,1200,Peak,24.00,True,0.10,Medium
PROD010,Blender Basic,Electronics,Shelf,WEST,2025-01-19,54,1620.00,28.00,50-60,M,Supermarket,2000,Peak,38.00,True,0.15,Large